Smith's Manufacturing Jewellers,U070,,1688.0,506.0,1
Sterns,U026,,1066.0,598.0,1
Yadik Pearls,Kiosk,,35.0,61.0,0
Alberto P,U016A,,888.0,550.0,1
The Matador Luggage,L049,,1372.0,335.0,0
BT Games,L041,,1257.0,353.0,0
Computicket,U127,,417.0,460.0,1
U092/093,(011) 452 1747 /,,32.0,32.0,0
Jimmy Jungles,U115E,,493.0,791.0,1
Musica,L097,,1190.0,400.0,0
Rush Trampoline Park,L104,,978.0,540.0,0
Ster-Kinekor,L033,,1032.0,350.0,0
The Fun Company,L043,,1206.0,361.0,0
Absolute Pets,U027,,1075.0,556.0,1
3@1,L013,,468.0,264.0,0
Dixon Adventure Centre,L0135,,1695.0,412.0,0
SA Post Office,L066,,1753.0,275.0,0
Telkom Direct,L011,,432.0,252.0,0
Cartridge Zone,U050,,1338.0,531.0,1
Party City,L05,,484.0,324.0,0
Smokers Corner / JJ Cale,L081,,1478.0,364.0,0
Verimark Emporium,U030,,1074.0,517.0,1
Cape Union Mart,U076,,1816.0,606.0,1
Duesouth,U042,,1295.0,607.0,1
Mr Price Sport,U066,,1635.0,427.0,1
Totalsports,U038,,1197.0,607.0,1
Hamleys,L115,,806.0,396.0,0
Cruise About,L045,,1288.0,345.0,0
Flight Centre,L071,,1614.0,320.0,0
Pentravel,U033,,1146.0,540.0,1
Bathroom,,1,1486.0,510.0,1
Bathroom,,2,741.0,451.0,1
Bathroom,,3,1409.0,191.0,0
Bathroom,,4,972.0,256.0,0
Bathroom,,5,661.0,261.0,0
