DEVICE,acer,B1-730
OFFSET,42
36,-79
39,-88
44,-83
45,-80
47,-88
48,-88
97,-70
61,-69
62,-60
109,-70
98,-71
106,-68
64,-60
56,-61
63,-61
75,-69
82,-60
126,-72
83,-60
104,-55
60,-75
86,-61
69,-75
108,-62
96,-60
79,-61
90,-60
74,-54
59,-68
94,-81
101,-71
123,-77
81,-60
100,-62
89,-71
133,-71
105,-60
135,-60
84,-61
228,-73
99,-73
139,-60
144,-60
93,-71
127,-66
128,-67
129,-66
157,-73
151,-69
137,-70
160,-78
169,-79
140,-71
146,-82
172,-68
178,-75
164,-51
158,-73
155,-74
156,-72
136,-82
174,-77
162,-81
165,-91
184,-74
161,-74
183,-81
134,-73
103,-74
168,-91
190,-81
OFFSET,1213
36,-79
39,-87
44,-79
45,-78
47,-88
48,-88
97,-75
61,-75
62,-61
109,-68
98,-66
106,-68
64,-60
56,-60
63,-60
75,-69
82,-59
126,-72
83,-59
104,-60
60,-75
86,-69
69,-75
108,-68
96,-66
79,-67
90,-67
74,-57
59,-66
94,-74
101,-72
123,-71
81,-58
100,-68
89,-69
133,-70
105,-67
135,-72
84,-58
228,-77
99,-73
139,-72
144,-72
93,-78
127,-67
128,-67
129,-66
157,-73
151,-69
137,-70
160,-78
169,-79
140,-71
146,-82
172,-67
178,-75
164,-50
158,-73
155,-74
156,-72
174,-77
162,-81
165,-91
184,-77
161,-79
183,-81
134,-71
103,-74
168,-91
190,-85
170,-78
102,-85
OFFSET,2484
36,-79
39,-87
44,-79
45,-78
47,-88
48,-88
97,-75
61,-71
62,-61
109,-68
98,-66
106,-68
64,-58
56,-58
63,-57
75,-73
82,-60
126,-74
83,-60
104,-57
60,-75
86,-70
69,-75
108,-68
96,-67
79,-68
90,-68
74,-62
59,-65
94,-74
101,-73
123,-73
81,-60
100,-68
89,-69
133,-70
105,-68
135,-72
84,-59
228,-66
99,-73
139,-71
144,-72
93,-78
127,-65
128,-64
129,-64
157,-78
151,-69
137,-70
160,-74
169,-81
140,-71
146,-82
172,-73
178,-68
164,-49
158,-73
155,-74
156,-72
174,-77
162,-81
165,-88
184,-77
161,-79
183,-81
134,-71
103,-74
168,-91
190,-85
170,-75
102,-85
8,-75
7,-76
OFFSET,3633
36,-78
39,-86
44,-78
45,-79
47,-86
48,-86
97,-70
61,-71
62,-56
109,-70
98,-71
106,-68
64,-58
56,-59
